entry_date,exit_date,direction,entry_price,exit_price,position_size,holding_bars,entry_equity,exit_equity,pnl_amount,return_pct,exit_reason
2019-03-05,2019-05-06,long,434.5,472.0,0.361,39,999819.5,1031007.61,31188.11,0.031194,trailing_stop
2019-05-07,2019-05-24,long,485.2,472.5,0.4302,13,1030785.84,1019374.2,-11411.64,-0.011071,trailing_stop
2019-05-27,2019-06-03,long,469.7,429.6,0.352,5,1019194.77,988149.34,-31045.44,-0.030461,hard_stop
2019-06-04,2019-06-27,short,422.5,447.9,0.2695,16,988016.2,971099.56,-16916.64,-0.017122,hard_stop
2019-06-28,2019-07-17,short,443.5,436.2,0.3194,13,970944.48,974653.17,3708.7,0.00382,reverse_signal
2019-07-17,2019-08-06,long,436.2,430.5,0.338,14,974653.17,970433.21,-4219.96,-0.00433,hard_stop
2019-08-07,2019-09-06,short,419.1,443.3,0.3104,22,970282.57,952585.15,-17697.43,-0.018239,hard_stop
2019-09-09,2019-09-30,long,450.5,447.0,0.3898,14,952399.49,950766.33,-1633.15,-0.001715,trailing_stop
2019-10-08,2019-10-29,long,440.0,454.9,0.2805,15,950632.98,959689.1,9056.11,0.009526,reverse_signal
2019-10-29,2019-11-22,short,454.9,458.9,0.4082,18,959689.1,955039.37,-4649.73,-0.004845,reverse_signal
2019-11-22,2020-01-14,long,458.9,465.4,0.4791,36,955039.37,962212.22,7172.85,0.007511,trailing_stop
2020-01-15,2020-01-21,long,463.3,460.9,0.3419,4,962047.72,960023.34,-2024.38,-0.002104,reverse_signal
2020-01-21,2020-04-02,short,460.9,289.0,0.3509,46,960023.34,1109984.43,149961.09,0.156206,trailing_stop
2020-04-03,2020-05-06,short,283.5,246.4,0.1784,19,1109885.43,1132165.37,22279.94,0.020074,trailing_stop
2020-05-07,2020-05-21,short,247.2,278.2,0.1311,10,1132091.14,1113706.6,-18384.54,-0.016239,reverse_signal
2020-05-21,2020-06-12,long,278.2,266.0,0.175,16,1113706.6,1105836.05,-7870.55,-0.007067,trailing_stop
2020-06-15,2020-08-04,long,260.6,281.3,0.2646,34,1105689.76,1129717.16,24027.4,0.021731,reverse_signal
2020-08-04,2020-08-28,short,281.3,293.6,0.3425,18,1129717.16,1112729.37,-16987.79,-0.015037,trailing_stop
2020-08-31,2020-09-03,long,298.0,285.8,0.5215,3,1112439.23,1088267.45,-24171.78,-0.021729,hard_stop
2020-09-04,2020-09-07,long,284.4,272.5,0.4729,1,1088010.14,1066230.38,-21779.77,-0.020018,hard_stop
2020-09-08,2020-09-16,short,269.1,270.6,0.4506,6,1065990.13,1058796.58,-7193.55,-0.006748,trailing_stop
2020-09-17,2020-11-11,short,270.0,255.9,0.2995,33,1058638.01,1070377.64,11739.63,0.011089,trailing_stop
2020-11-12,2020-11-23,short,251.9,267.9,0.2248,7,1070257.35,1054780.44,-15476.91,-0.014461,reverse_signal
2020-11-23,2021-03-19,long,267.9,379.5,0.2935,78,1054780.44,1175917.98,121137.55,0.114846,trailing_stop
2021-03-22,2021-03-31,long,390.1,399.7,0.2289,7,1175783.4,1182265.91,6482.5,0.005513,reverse_signal
2021-03-31,2021-04-23,short,399.7,399.0,0.2757,16,1182265.91,1180782.24,-1483.66,-0.001255,reverse_signal
2021-04-23,2021-07-09,long,399.0,444.6,0.3613,51,1180782.24,1230141.33,49359.08,0.041802,trailing_stop
2021-07-12,2021-07-19,long,448.6,427.9,0.3712,5,1229913.02,1208733.89,-21179.13,-0.01722,hard_stop
2021-07-20,2021-07-26,short,414.5,439.2,0.2941,4,1208556.13,1187611.4,-20944.73,-0.01733,hard_stop
2021-07-27,2021-08-30,short,446.0,438.3,0.333,24,1187413.66,1191753.95,4340.29,0.003655,trailing_stop
